user_id,parent_asin,is_positive,match_level,actual_rating
SIM_USER_APPLE_FAN,B001DVZXC0,False,medium,3
SIM_USER_APPLE_FAN,B003IZFCFW,False,low,2
SIM_USER_APPLE_FAN,B0093JKBYO,False,low,3
SIM_USER_APPLE_FAN,B00007KDVI,True,high,4
SIM_USER_APPLE_FAN,B003HC2FHE,True,high,4
SIM_USER_APPLE_FAN,B00C2MBTK4,False,medium,3
SIM_USER_APPLE_FAN,B0011UXSHK,True,high,5
SIM_USER_APPLE_FAN,B004EGI3CI,True,high,5
SIM_USER_APPLE_FAN,B07Y87YHRH,False,medium,4
SIM_USER_APPLE_FAN,B01L2CPPH2,False,medium,3
SIM_USER_APPLE_FAN,B0BZ4ZYD66,False,medium,3
SIM_USER_APPLE_FAN,B00PL86T5Q,True,high,4
SIM_USER_APPLE_FAN,B01AHWH83M,False,medium,4
SIM_USER_APPLE_FAN,B00BH81BIE,False,low,2
SIM_USER_APPLE_FAN,B07RRR68H6,True,high,5
SIM_USER_APPLE_FAN,B0034XRDUA,False,medium,4
SIM_USER_APPLE_FAN,B07H633X64,True,high,5
SIM_USER_APPLE_FAN,B00AMTRR5K,False,medium,4
SIM_USER_APPLE_FAN,B00KX1ZNF8,False,low,3
SIM_USER_APPLE_FAN,B01DLWBPCA,True,high,5
SIM_USER_BUDGET_GAMER,B00L9NZT3A,True,high,5
SIM_USER_BUDGET_GAMER,B011K4XZQ0,False,medium,3
SIM_USER_BUDGET_GAMER,B0007MXZB2,False,medium,2
SIM_USER_BUDGET_GAMER,B00RY35TES,False,medium,2
SIM_USER_BUDGET_GAMER,B00UVQI8B6,True,high,5
SIM_USER_BUDGET_GAMER,B00I5SW8MC,True,high,5
SIM_USER_BUDGET_GAMER,B01FN9QT34,False,medium,3
SIM_USER_BUDGET_GAMER,B00G3788AS,False,medium,3
SIM_USER_BUDGET_GAMER,B08TZX2DW5,False,medium,3
SIM_USER_BUDGET_GAMER,B0062GG4XI,False,medium,3
SIM_USER_BUDGET_GAMER,B005UBNJ48,False,medium,3
SIM_USER_BUDGET_GAMER,B00WCIIQOK,True,high,4
SIM_USER_BUDGET_GAMER,B0C6FJFRJG,True,high,5
SIM_USER_BUDGET_GAMER,B000P1OA1O,False,medium,3
SIM_USER_BUDGET_GAMER,B015OTEPGQ,False,medium,3
SIM_USER_BUDGET_GAMER,B005A0B7CA,False,medium,3
SIM_USER_BUDGET_GAMER,B00JO80LUI,True,high,5
SIM_USER_BUDGET_GAMER,B0BTVN2YTV,True,high,4
SIM_USER_BUDGET_GAMER,B002C0SKBW,False,medium,2
SIM_USER_BUDGET_GAMER,B07JKBJ8R4,False,medium,3
SIM_USER_PHOTOGRAPHER,B01BVM77B0,True,high,4
SIM_USER_PHOTOGRAPHER,B007TIYYQ2,False,low,2
SIM_USER_PHOTOGRAPHER,B09JH82GSF,False,medium,4
SIM_USER_PHOTOGRAPHER,B0BL5YHZPC,True,high,4
SIM_USER_PHOTOGRAPHER,B003CJQ69A,True,high,4
SIM_USER_PHOTOGRAPHER,B000RT77I2,True,high,4
SIM_USER_PHOTOGRAPHER,B09GNLLS7B,True,high,4
SIM_USER_PHOTOGRAPHER,B001QNBUA4,True,high,5
SIM_USER_PHOTOGRAPHER,B07KG29VRB,False,medium,3
SIM_USER_PHOTOGRAPHER,B076HRZJ66,False,medium,4
SIM_USER_PHOTOGRAPHER,B01LXKQ07C,False,medium,3
SIM_USER_PHOTOGRAPHER,B00GHBBK82,True,high,4
SIM_USER_PHOTOGRAPHER,B009PK9QGU,True,high,5
SIM_USER_PHOTOGRAPHER,B0002J2B8I,False,medium,4
SIM_USER_PHOTOGRAPHER,B077SMC7TN,False,medium,4
SIM_USER_PHOTOGRAPHER,B0092ML0OC,False,medium,3
SIM_USER_PHOTOGRAPHER,B0090SVDEK,True,high,4
SIM_USER_PHOTOGRAPHER,B078872GWH,True,high,5
SIM_USER_PHOTOGRAPHER,B00N2S6W86,False,medium,3
SIM_USER_PHOTOGRAPHER,B003B48UQ8,True,high,4
SIM_USER_HOME_AUDIO,B008J0Z9TA,False,medium,4
SIM_USER_HOME_AUDIO,B06XKPQ6YZ,False,medium,4
SIM_USER_HOME_AUDIO,B005LZX9GG,False,medium,3
SIM_USER_HOME_AUDIO,B002J9HBIO,True,high,5
SIM_USER_HOME_AUDIO,B01MRQKP88,True,high,5
SIM_USER_HOME_AUDIO,B01DN7OH4G,False,medium,3
SIM_USER_HOME_AUDIO,B000NMFCIA,True,high,5
SIM_USER_HOME_AUDIO,B0082E9K7U,True,high,4
SIM_USER_HOME_AUDIO,B01DN7NJDQ,False,medium,3
SIM_USER_HOME_AUDIO,B08KHV7H1S,False,medium,4
