user_id,parent_asin,rating,timestamp
SIM_USER_APPLE_FAN,B001DVZXC0,3,1785370463
SIM_USER_APPLE_FAN,B003IZFCFW,2,1785370972
SIM_USER_APPLE_FAN,B0093JKBYO,3,1785371337
SIM_USER_APPLE_FAN,B00007KDVI,4,1785372113
SIM_USER_APPLE_FAN,B003HC2FHE,4,1785373879
SIM_USER_APPLE_FAN,B00C2MBTK4,3,1785375385
SIM_USER_APPLE_FAN,B0011UXSHK,5,1785377114
SIM_USER_APPLE_FAN,B004EGI3CI,5,1785377732
SIM_USER_APPLE_FAN,B07Y87YHRH,4,1785378221
SIM_USER_APPLE_FAN,B01L2CPPH2,3,1785379225
SIM_USER_APPLE_FAN,B0BZ4ZYD66,3,1785380465
SIM_USER_APPLE_FAN,B00PL86T5Q,4,1785381895
SIM_USER_APPLE_FAN,B01AHWH83M,4,1785382935
SIM_USER_APPLE_FAN,B00BH81BIE,2,1785383328
SIM_USER_APPLE_FAN,B07RRR68H6,5,1785384104
SIM_USER_APPLE_FAN,B0034XRDUA,4,1785385332
SIM_USER_APPLE_FAN,B07H633X64,5,1785386359
SIM_USER_APPLE_FAN,B00AMTRR5K,4,1785388096
SIM_USER_APPLE_FAN,B00KX1ZNF8,3,1785388746
SIM_USER_APPLE_FAN,B01DLWBPCA,5,1785389823
SIM_USER_BUDGET_GAMER,B00L9NZT3A,5,1785391263
SIM_USER_BUDGET_GAMER,B011K4XZQ0,3,1785391677
SIM_USER_BUDGET_GAMER,B0007MXZB2,2,1785392798
SIM_USER_BUDGET_GAMER,B00RY35TES,2,1785394259
SIM_USER_BUDGET_GAMER,B00UVQI8B6,5,1785395901
SIM_USER_BUDGET_GAMER,B00I5SW8MC,5,1785397140
SIM_USER_BUDGET_GAMER,B01FN9QT34,3,1785397945
SIM_USER_BUDGET_GAMER,B00G3788AS,3,1785398783
SIM_USER_BUDGET_GAMER,B08TZX2DW5,3,1785400278
SIM_USER_BUDGET_GAMER,B0062GG4XI,3,1785400861
SIM_USER_BUDGET_GAMER,B005UBNJ48,3,1785401257
SIM_USER_BUDGET_GAMER,B00WCIIQOK,4,1785401884
SIM_USER_BUDGET_GAMER,B0C6FJFRJG,5,1785402314
SIM_USER_BUDGET_GAMER,B000P1OA1O,3,1785403572
SIM_USER_BUDGET_GAMER,B015OTEPGQ,3,1785403895
SIM_USER_BUDGET_GAMER,B005A0B7CA,3,1785405591
SIM_USER_BUDGET_GAMER,B00JO80LUI,5,1785406587
SIM_USER_BUDGET_GAMER,B0BTVN2YTV,4,1785407210
SIM_USER_BUDGET_GAMER,B002C0SKBW,2,1785408983
SIM_USER_BUDGET_GAMER,B07JKBJ8R4,3,1785410322
SIM_USER_PHOTOGRAPHER,B01BVM77B0,4,1785411930
SIM_USER_PHOTOGRAPHER,B007TIYYQ2,2,1785412560
SIM_USER_PHOTOGRAPHER,B09JH82GSF,4,1785413860
SIM_USER_PHOTOGRAPHER,B0BL5YHZPC,4,1785414789
SIM_USER_PHOTOGRAPHER,B003CJQ69A,4,1785416250
SIM_USER_PHOTOGRAPHER,B000RT77I2,4,1785417545
SIM_USER_PHOTOGRAPHER,B09GNLLS7B,4,1785418107
SIM_USER_PHOTOGRAPHER,B001QNBUA4,5,1785418949
SIM_USER_PHOTOGRAPHER,B07KG29VRB,3,1785420743
SIM_USER_PHOTOGRAPHER,B076HRZJ66,4,1785421860
SIM_USER_PHOTOGRAPHER,B01LXKQ07C,3,1785423084
SIM_USER_PHOTOGRAPHER,B00GHBBK82,4,1785423515
SIM_USER_PHOTOGRAPHER,B009PK9QGU,5,1785424949
SIM_USER_PHOTOGRAPHER,B0002J2B8I,4,1785425263
SIM_USER_PHOTOGRAPHER,B077SMC7TN,4,1785425683
SIM_USER_PHOTOGRAPHER,B0092ML0OC,3,1785426659
SIM_USER_PHOTOGRAPHER,B0090SVDEK,4,1785427529
SIM_USER_PHOTOGRAPHER,B078872GWH,5,1785428099
SIM_USER_PHOTOGRAPHER,B00N2S6W86,3,1785429232
SIM_USER_PHOTOGRAPHER,B003B48UQ8,4,1785430881
SIM_USER_HOME_AUDIO,B008J0Z9TA,4,1785432022
SIM_USER_HOME_AUDIO,B06XKPQ6YZ,4,1785433701
SIM_USER_HOME_AUDIO,B005LZX9GG,3,1785435492
